Date,AF,AX,AL,DZ,AS,AD,AO,AI,AQ,AG,AR,AM,AW,AU,AT,AZ,BS,BH,BD,BB,BY,BE,BZ,BJ,BM,BT,BO,BQ,BA,BW,BV,BR,IO,BN,BG,BF,BI,KH,CM,CA,CV,KY,CF,TD,CL,CN,CX,CC,CO,KM,CG,CD,CK,CR,CI,HR,CU,CW,CY,CZ,DK,DJ,DM,DO,EC,EG,SV,GQ,ER,EE,ET,FK,FO,FJ,FI,FR,GF,PF,TF,GA,GM,GE,DE,GH,GI,GR,GL,GD,GP,GU,GT,GG,GN,GW,GY,HT,HM,VA,HN,HK,HU,IS,IN,ID,IR,IQ,IE,IM,IL,IT,JM,JP,JE,JO,KZ,KE,KI,KP,KR,KW,KG,LA,LV,LB,LS,LR,LY,LI,LT,LU,MO,MK,MG,MW,MY,MV,ML,MT,MH,MQ,MR,MU,YT,MX,FM,MD,MC,MN,ME,MS,MA,MZ,MM,NA,NR,NP,NL,NC,NZ,NI,NE,NG,NU,NF,MP,NO,OM,PK,PW,PS,PA,PG,PY,PE,PH,PN,PL,PT,PR,QA,RE,RO,RU,RW,BL,SH,KN,LC,MF,PM,VC,WS,SM,ST,SA,SN,RS,SC,SL,SG,SX,SK,SI,SB,SO,ZA,GS,ES,LK,SD,SR,SS,SJ,SZ,SE,CH,SY,TW,TJ,TZ,TH,TL,TG,TK,TO,TT,TN,TR,TM,TC,TV,UG,UA,AE,GB,US,UM,UY,UZ,VU,VE,VN,VG,VI,WF,EH,YE,ZM,ZW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:10.,0,0,0,3.14E-08,0,0,0,0,0,0,1.38E-06,0,0,5.00E-05,0.006865659,0,3.80E-06,0,0,0,3.14E-06,0.001230976,0,0,0,0,0,0,0,0,0,0.000433111,0,0,0.003111288,0,0,0,0,0.016855177,0,0,0,0,3.46E-07,0,0,0,7.23E-07,0,0,0,0,3.52E-05,0,0.000814648,0,0,1.89E-07,0.016874694,0.003419284,0,0,0,0,3.97E-05,0,0,0,0.000778631,0,0,0,0,0.001932703,0.211369269,0,0,0,0,0,0,0.275778348,0,0,0.002390422,0,0,0,0,0.000154626,0,0,0,0,0,0,0,0,4.52E-05,0.004618392,0.000776934,0.000131652,8.49E-07,0,0,0.000244856,3.07E-05,0.000440905,0.002551491,0,0.000929298,0,0,0.000133255,5.47E-06,0,0,0.000169617,0,0,0,0.001771351,0,0,0.003551376,0,2.22E-05,0.001672038,0.013744266,0,8.49E-07,0,0,7.61E-06,0,0,0,0,0,0,0,0,8.75E-05,0,0.001842316,0,0,0,0,5.34E-07,0,0,6.29E-08,0,0,0.133369325,0,1.92E-05,0,0,0,0,0,0,0.00815374,0,0,0,0,7.01E-06,0,0,0,0,0,0.005279325,0.000106258,0,6.29E-07,0,0.01851631,0.011170618,0,0,0,3.77E-07,0,0,0,0,0,0,0,4.09E-07,0,4.01E-05,1.57E-05,0,0.000418025,0,0.001329409,0.00074428,0,0,2.39E-06,0,0.003613604,0,0,0,0,0,0,0.030154736,0.049297502,0,0.00010651,0,0,7.13E-06,0,0,0,0,0,0,0.000260633,0,0,0,0,0.011816183,0,0.059461289,0.091094497,0,0,0,0,6.29E-08,2.29E-06,7.70E-06,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23:23.,0,0,0,3.20E-08,0,0,0,0,0,0,7.35E-07,0,0,5.13E-05,0.005169059,0,3.87E-06,0,0,0,3.20E-06,0.001228691,0,0,0,0,0,0,0,0,0,0.000441237,0,0,0.003226911,0,0,0,0,0.017343183,0,0,0,0,3.51E-07,0,0,0,1.60E-07,0,0,0,0,3.58E-05,0,0.000831386,0,0,1.92E-07,0.016717527,0.003541784,0,0,0,0,4.04E-05,0,0,0,0.000790297,0,0,0,0,0.001897608,0.218482291,0,0,0,0,0,0,0.270683415,0,0,0.002416421,0,0,0,0,0.000157197,0,0,0,0,0,0,0,0,4.62E-05,0.004713699,0.00079477,0.000141892,8.63E-07,0,0,0.000157293,3.12E-05,0.000448171,0.002609531,0,0.000948612,0,0,0.00013547,5.56E-06,0,0,0.000175345,0,0,0,0.001806741,0,0,0.002996963,0,2.25E-05,0.001713157,0.012427365,0,8.63E-07,0,0,7.64E-06,0,0,0,0,0,0,0,0,8.84E-05,0,0.001873901,0,0,0,0,5.43E-07,0,0,6.39E-08,0,0,0.138951514,0,2.09E-05,0,0,0,0,0,0,0.008504794,0,0,0,0,6.58E-06,0,0,0,0,0,0.004865017,0.000108025,0,6.39E-07,0,0.016603975,0.011088636,0,0,0,3.83E-07,0,0,0,0,0,0,0,1.92E-07,0,4.07E-05,1.60E-05,0,0.000427786,0,0.001353011,0.000760519,0,0,2.43E-06,0,0.002477607,0,0,0,0,0,0,0.02971898,0.050108746,0,0.00010844,0,0,7.25E-06,0,0,0,0,0,6.39E-07,0.000272794,0,0,0,0,0.01306088,0,0.054228323,0.092959472,0,0,0,0,0,2.33E-06,9.52E-06,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:44.,0,0,0,3.21E-08,0,0,0,0,0,0,7.39E-07,0,0,5.07E-05,0.005216012,0,3.89E-06,0,0,0,3.21E-06,0.001224113,0,0,0,0,0,0,0,0,0,0.000444501,0,0,0.003165737,0,0,0,0,0.017452866,0,0,0,0,3.53E-07,0,0,0,1.61E-07,0,0,0,0,3.60E-05,0,0.000832749,0,0,1.93E-07,0.016879442,0.003555687,0,0,0,0,4.06E-05,0,0,0,0.000796253,0,0,0,0,0.001953768,0.220640923,0,0,0,0,0,0,0.268126718,0,3.21E-08,0.002425351,0,0,0,0,0.000158062,0,0,0,0,0,0,0,0,4.65E-05,0.00476711,0.000800462,0.000142031,8.67E-07,0,0,0.000158512,3.14E-05,0.000449866,0.002621194,0,0.00095515,0,0,0.000136216,5.59E-06,0,0,0.000173804,0,0,0,0.001817777,0,0,0.003013457,0,2.26E-05,0.001718635,0.012493512,0,8.67E-07,0,0,7.68E-06,0,0,0,0,0,0,0,0,8.87E-05,0,0.001884214,0,0,0,0,5.46E-07,0,0,6.43E-08,0,0,0.137821732,0,1.70E-05,0,0,0,0,0,0,0.008536149,0,0,0,0,6.62E-06,0,0,0,0,0,0.004890026,0.000108619,0,6.43E-07,0,0.016684113,0.01087463,0,0,0,5.78E-07,0,0,0,0,0,0,0,1.93E-07,0,4.10E-05,1.61E-05,0,0.000431201,0,0.001360136,0.000754103,0,0,2.44E-06,0,0.002493813,0,0,0,0,0,0,0.029926042,0.050354457,0,0.000109037,0,0,7.29E-06,0,0,0,0,0,6.43E-07,0.00027436,0,0,0,0,0.013263904,0,0.054846341,0.092737677,0,0,0,0,0,2.35E-06,9.57E-06,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22:31.,0,0,0,3.21E-08,0,0,0,0,0,0,7.39E-07,0,0,5.07E-05,0.005216012,0,3.89E-06,0,0,0,3.21E-06,0.001224113,0,0,0,0,0,0,0,0,0,0.000444501,0,0,0.003165737,0,0,0,0,0.017452866,0,0,0,0,3.53E-07,0,0,0,1.61E-07,0,0,0,0,3.60E-05,0,0.000832749,0,0,1.93E-07,0.016879442,0.003555687,0,0,0,0,4.06E-05,0,0,0,0.000796253,0,0,0,0,0.001953768,0.220640923,0,0,0,0,0,0,0.268126718,0,3.21E-08,0.002425351,0,0,0,0,0.000158062,0,0,0,0,0,0,0,0,4.65E-05,0.00476711,0.000800462,0.000142031,8.67E-07,0,0,0.000158512,3.14E-05,0.000449866,0.002621194,0,0.00095515,0,0,0.000136216,5.59E-06,0,0,0.000173804,0,0,0,0.001817777,0,0,0.003013457,0,2.26E-05,0.001718635,0.012493512,0,8.67E-07,0,0,7.68E-06,0,0,0,0,0,0,0,0,8.87E-05,0,0.001884214,0,0,0,0,5.46E-07,0,0,6.43E-08,0,0,0.137821732,0,1.70E-05,0,0,0,0,0,0,0.008536149,0,0,0,0,6.62E-06,0,0,0,0,0,0.004890026,0.000108619,0,6.43E-07,0,0.016684113,0.01087463,0,0,0,5.78E-07,0,0,0,0,0,0,0,1.93E-07,0,4.10E-05,1.61E-05,0,0.000431201,0,0.001360136,0.000754103,0,0,2.44E-06,0,0.002493813,0,0,0,0,0,0,0.029926042,0.050354457,0,0.000109037,0,0,7.29E-06,0,0,0,0,0,6.43E-07,0.00027436,0,0,0,0,0.013263904,0,0.054846341,0.092737677,0,0,0,0,0,2.35E-06,9.57E-06,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:01.,0,0,0,3.14E-08,0,0,0,0,0,0,1.32E-06,0,0,4.67E-05,0.005899509,0,3.79E-06,0,0,0,2.51E-07,0.00082345,0,0,0,0,0,0,0,0,0,0.000436417,0,0,0.002935708,0,0,0,0,0.01558561,0,0,0,0,1.57E-07,0,0,0,1.88E-07,0,0,0,0,3.00E-05,0,0.000724591,0,0,1.88E-07,0.016546454,0.002985216,0,0,0,0,3.97E-05,0,0,0,0.000805108,0,0,0,0,0.001579082,0.227250883,0,0,0,0,0,0,0.276698702,0,3.14E-08,0.002515658,9.41E-08,0,0,0,0.000162414,0,0,0,0,0,0,0,0,4.79E-05,0.00490405,0.000880264,0.000123315,9.09E-07,0,0,0.000241771,3.42E-05,0.00046034,0.00267873,0,0.000973856,0,0,0.000131781,5.46E-06,0,0,0.000183233,0,0,0,0.00172099,0,0,0.002941007,0,2.21E-05,0.001554595,0.010976978,0,8.15E-07,0,0,6.77E-06,0,0,0,0,0,0,0,0,7.82E-05,0,0.001924823,0,0,0,0,1.76E-06,0,0,6.27E-08,0,0,0.130237489,0,1.66E-05,0,0,0,0,0,0,0.00817164,0,3.14E-07,0,0,4.39E-06,0,0,0,0,0,0.006291026,0.000112122,0,6.27E-07,0,0.018551418,0.010936155,0,0,0,5.64E-07,0,0,0,0,0,0,0,4.39E-07,0,1.88E-07,1.33E-05,0,0.000385027,0,0.001191264,0.000680163,0,0,6.36E-06,0,0.003628506,0,0,0,0,0,0,0.028974088,0.046758366,0,9.82E-05,0,0,7.05E-06,0,0,0,0,0,6.27E-07,0.000277169,0,0,0,0,0.012815577,0,0.057635355,0.088131085,0,0,0,0,3.14E-08,2.51E-06,2.35E-05,0,0,0,0,0,0
